IATA Code,Name,Country
NTR,Aeropuerto del Norte International Airport,Mexico
INS,Af Aux,United States
HST,AFB,United States
CWB,Afonso Pena International Airport,Brazil
AFR,Afore,Papua New Guinea
OHC,AFS,United States
PML,AFS,United States
AFT,Afutara Aerodrome,Solomon Islands
AFY,Afyon,Turkey
AJY,Agades,Niger
AGA,Agadir Al Massira Airport,Morocco
IXA,Agartala Airport,India
AGX,Agatti Island Airport,India
AUP,Agaun,Papua New Guinea
AGZ,Aggeneys,South Africa
AKW,Aghajari,Iran
AGW,Agnew,Australia
RJL,Agoncillo Airport,Spain
AJI,Agri Airport,Turkey
AGQ,Agrinion,Greece
ACL,Aguaclara,Colombia
AGU,Aguascalients International Airport,Mexico
OCV,Aguasclaras,Colombia
TMR,Aguenar - Hadj Bey Akhamok Airport,Algeria
AGJ,Aguni,Japan
AHE,Ahe Airport,French Polynesia
XIJ,Ahmed Al Jaber,Kuwait
AMD,Ahmedabad Airport,India
AHS,Ahuas,Honduras
AWZ,Ahwaz Airport,Iran
AIW,Ai-ais,Namibia
AIH,Aiambak,Papua New Guinea
ZDC,Aigle Railway Station,Switzerland
AIL,Ailigandi,Panama
AIP,Ailinglapalap Island,Marshall Islands
AIM,Ailuk Island,Marshall Islands
OGX,Ain Beida Airport,Algeria
BUJ,Ain Eddis,Algeria
CZL,Ain El Bey Airport,Algeria
ANW,Ainsworth,United States
AIE,Aiome,Papua New Guinea
AEO,Aioun El Atrouss,Mauritania
WIE,Air Base,Germany
ROR,Airai Airport,Palau
UDN,Airfield,Italy
HDB,Airfield Heidelberg,Germany
AIC,Airok,Marshall Islands
MDD,Airpark,United States
BAT,Airport Chafei Amsei,Brazil
BGX,Airport Cmdt. Gustavo Kraemer,Brazil
ATP,Airstrip,Papua New Guinea
OFU,Airstrip,American Samoa
VIK,Airstrip,United States
AHL,Aishalton,Guyana
AIT,Aitutaki Airport,Cook Islands
QXB,Aix-en-Provence TGV Railway Station,France
AYU,Aiyura,Papua New Guinea
AJL,Aizawl Airport,India
AJA,Ajaccio Napoleon Bonaparte Airport,France
XHC,Akaslompolo Bus Station,Finland
AKK,Akhiok SPB,United States
AKI,Akiak,United States
AKE,Akieni,Gabon
AXT,Akita Airport,Japan
AJJ,Akjoujt,Mauritania
LAK,Aklavik,Canada
AKD,Akola,India
CAK,Akron-Canton Airport,United States
AKU,Aksu Airport,China
SCO,Aktau International Airport,Kazakhstan
PVK,Aktion Airport,Greece
AKX,Aktyubinsk Airport,Kazakhstan
AKV,Akulivik,Canada
AKR,Akure,Nigeria
AEY,Akureyri Airport,Iceland
KQA,Akutan,United States
QUO,Akwa Ibom Airport,Nigeria
AAN,Al Ain Airport,United Arab Emirates
IQA,Al Asad Air Base,Iraq
RDL,Al Bardawil International Airport,Egypt
DHF,Al Dhafra Military Airport,United Arab Emirates
AAY,Al Ghaydah,Yemen
RHR,Al Hamra SPB,United Arab Emirates
DEZ,Al Jafrah,Syria
TAI,Al Janad,Yemen
XXR,Al Railway Station,Norway
TQD,Al Taqaddum AB,Iraq
SOR,Al Thaurah,Syria
XJD,Al Udeid AB,Qatar
HOF,Al-Ahsa Airport,Saudi Arabia
ABT,Al-Aqiq Airport,Saudi Arabia
FJR,Al-Fujairah International,United Arab Emirates
NJF,Al-Najaf International Airport,Iraq
PGU,Ala'Marvdasht Airport,Iran
ACF,Alaer Talimu Airport,China
AUK,Alakanuk Airport,United States
DBB,Alalamain International,Egypt
XAL,Alamos,Mexico
ALS,Alamosa Municipal Airport,United States
XJJ,Albacete Bus Station,Spain
EEM,Albacete Railway Station,Spain
CVO,Albany,United States
ALH,Albany Airport,Australia
QWY,Albany Bus Station,United States
ALB,Albany International Airport,United States
NAB,Albany NAS,United States
ZLY,Albany Railway Station,United States
ALL,Albenga,Italy
OAJ,Albert J Ellis Airport,United States
AEL,Albert Lea,United States
BYF,Albert-Bray Airport,France
SOX,Alberto Lleras Camargo,Colombia
FEP,Albertus,United States
JHL,Albian,Canada
ABN,Albina,Suriname
BUK,Albuq,Yemen
ABQ,Albuquerque International Sunport,United States
ABX,Albury Airport,Australia
ADH,Aldan,Russia
ACI,Alderney Airport,United Kingdom
XLY,Aldershot Railway Station,Canada
LEG,Aleg,Mauritania
CUZ,Alejandro Velasco Astete International Airport,Peru
AGT,Alejo Garcia Airport,Paraguay
WKK,Aleknagik,United States
UHS,Aleksandrovsk-Sakhalinskiy Airport,Russia
AED,Aleneva,United States
ALT,Alenquer,Brazil
YLT,Alert,Canada
YAL,Alert Bay,Canada
ALD,Alerta,Peru
ALJ,Alexander Bay Airport,South Africa
ISW,Alexander Field,United States
ALR,Alexandra,New Zealand
AXL,Alexandria,Australia
AXN,Alexandria,United States
AXB,Alexandria Bay,United States
AEX,Alexandria International Airport,United States
XFS,Alexandria Railway Station,Canada
PKH,Alexion,Greece
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,Peru
CLO,Alfonso B. Aragon Airport,Colombia
AEI,Algeciras,Spain
AHO,Alghero-Fertilia Airport,Italy
AXG,Algona,United States
YJE,Alicante Railway Station,Spain
ALC,Alicante-Elche Airport,Spain
ZAA,Alice Arm,Canada
ASP,Alice Springs Airport,Australia
XHW,Alice Springs Railway,Australia
AII,Alisabieh,Djibouti
ALZ,Alitak SPB,United States
AAV,Allah Valley,Philippines
AET,Allakaket,United States
LHE,Allama Iqbal International Airport,Pakistan
ADY,Alldays,South Africa
AGC,Allegheny County Airport,United States
AOH,Allen County,United States
AIA,Alliance Airport,United States
LLU,Alluitsup Paa,Greenland
YTF,Alma,Canada
ALA,Almaty Airport,Kazakhstan
GGF,Almeirim,Brazil
QYL,Almelo Railway Station,Netherlands
AMJ,Almenara,Brazil
LEI,Almeria Airport,Spain
IXV,Along,India
ARD,Alor Island Airport,Indonesia
AWE,Alowe,Gabon
AHZ,Alpe D Huez,France
APN,Alpena County Regional Airport,United States
ABH,Alpha,Australia
ALE,Alpine,United States
AYD,Alroy Downs,Australia
ALF,Alta Airport,Norway
AFL,Alta Floresta Airport,Brazil
YAE,Alta Lake,Canada
LTI,Altai,Mongolia
ATM,Altamira Airport,Brazil
AAT,Altay Airport,China
AOC,Altenburg Nobitz,Germany
ACH,Altenrhein Airport,Switzerland
AME,Alto Molocue,Mozambique
WAP,Alto Palena,Chile
APY,Alto Parnaiba,Brazil
ARR,Alto Rio Senguerr,Argentina
ALN,Alton,United States
AWN,Alton Downs,Australia
AOO,Altoona Airport,United States
LTS,Altus AFB,United States
ALU,Alula,Somalia
XJA,Alvdal Railway Station,Norway
AVR,Alverca,Portugal
XXA,Alvesta,Sweden
AXF,Alxa Left Banner,China
RHT,Alxa Right Banner,China
GTE,Alyangula Airport,Australia
AQY,Alyeska,United States
ZIS,Alzintan Airport,Libya
AMC,Am Timan,Chad
AMF,Ama,Papua New Guinea
AHI,Amahai,Indonesia
AXJ,Amakusa,Japan
AFI,Amalfi,Colombia
ASJ,Amami Airport,Japan
AMU,Amanab,Papua New Guinea
AMT,Amata,Australia
MAJ,Amata Kabua International Airport,Marshall Islands
AZB,Amazon Bay,Papua New Guinea
IVA,Ambanja,Madagascar
AHY,Ambatolahy,Madagascar
AMY,Ambatomainty,Madagascar
WAM,Ambatondrazaka,Madagascar
AMB,Ambilobe,Madagascar
ABL,Ambler Airport,United States
OHB,Ambohibary,Madagascar
AMG,Amboin,Papua New Guinea
MJN,Amborovy,Madagascar
ASV,Amboseli,Kenya
AZZ,Ambriz,Angola
AUJ,Ambunti,Papua New Guinea
AHT,Amchitka,United States
AMV,Amderma,Russia
AHC,Amedee AAF,United States
RCN,American River,Australia
QYM,Amersfoort Railway Station,Netherlands
AMW,Ames,United States
AEM,Amgu,Russia
XZK,Amherst Railway Station,Canada
SID,Amilcar Cabral International Airport,Cape Verde
AMX,Ammaroo,Australia
AOS,Amook,United States
YEY,Amos,Canada
AMP,Ampanihy,Madagascar
ADP,Ampara,Sri Lanka
AFK,Ampara Kondavattavan Tank Airport,Sri Lanka
GOY,Amparai,Sri Lanka
AMS,Amsterdam Airport Schiphol,Netherlands
ZYA,Amsterdam Centraal Railway Station,Netherlands
AVA,An Shun/Huang Guo Shu Airport,China
AAA,Anaa,French Polynesia
AAO,Anaco,Venezuela
OTS,Anacortes,United States
AOE,Anadolu University,Turkey
DYR,Anadyr Airport,Russia
YAA,Anahim Lake,Canada
AKP,Anaktuvuk,United States
HVA,Analalava,Madagascar
AAQ,Anapa Airport,Russia
APS,Anapolis,Brazil
AOI,Ancona Falconara Airport,Italy
ZUD,Ancud,Chile
ANS,Andahuaylas,Peru
ADC,Andakombe,Papua New Guinea
XGI,Andalsnes Railway Station,Norway
ADO,Andamooka,Australia
ZWA,Andapa,Madagascar
DVD,Andavadoaka,Madagascar
ANX,Andenes Airport,Norway
UAM,Andersen AFB,Guam
AND,Anderson,United States
ADN,Andes,Colombia
AZN,Andizhan Airport,Uzbekistan
AAP,Andrau Airpark,United States
PYR,Andravida,Greece
OTT,Andre Maggi,Brazil
ADR,Andrews,United States
ADW,Andrews AFB,United States
NSF,Andrews NAF,United States
WAD,Andriamena,Madagascar
ASD,Andros Town,Bahamas
ICC,Andrés Miguel Salazar Marcano Airport,Venezuela
ANL,Andulo,Angola
AUY,Aneityum,Vanuatu
CAS,Anfa,Morocco
TGZ,Angel Albino Corzo International Airport,Mexico
AXX,Angel Fire,United States
AGH,Angelholm Helsingborg Airport,Sweden
XYQ,Angelholm Railway,Sweden
QXG,Angers Railway Station,France
ANE,Angers-Marce Airport,France
AGD,Anggi,Indonesia
HLY,Anglesey Airport,United Kingdom
VLY,Anglesey Airport,United Kingdom
YAX,Angling Lake Airport,Canada
ANO,Angoche,Mozambique
AGN,Angoon,United States
AGG,Angoram,Papua New Guinea
GDR,Angra dos Reis Airport,Brazil
AKG,Anguganak,Papua New Guinea
ANZ,Angus Downs,Australia
ANI,Aniak Airport,United States
AMK,Animas Airpark,United States
AWD,Aniwa,Vanuatu
AKA,Ankang,China
JVA,Ankavandra,Madagascar
WAK,Ankazoabo,Madagascar
NKO,Ankokoambo,Madagascar
VBA,Ann,Myanmar
NAI,Annai,Guyana
AOB,Annanberg,Papua New Guinea
NCY,Annecy-Meythe,France
ANN,Annette Island,United States
ANB,Anniston Metropolitan,United States
NBN,Annobón,Equatorial Guinea
AQG,Anqing Tianzhushan Airport,China
QOB,Ansbach Railway Station,Germany
AOG,Anshan Teng'ao Airport,China
ATA,Anta,Peru
AYT,Antalya Airport,Turkey
TNR,Antananarivo Airport,Madagascar
ANY,Anthony,United States
AYL,Anthony Lagoon,Australia
XAT,Antibes,France
ATE,Antlers,United States
SCU,Antonio Maceo Airport,Cuba
VQS,Antonio Rivera Rodriguez Airport,Puerto Rico
ACB,Antrim County,United States
WAQ,Antsalova,Madagascar
ANM,Antsirabato,Madagascar
ATJ,Antsirabe,Madagascar
DIE,Antsiranana/Arrachart,Madagascar
WAI,Antsohihy,Madagascar
ZWE,Antwerp Central Railway Station,Belgium
ANR,Antwerp International Airport,Belgium
JTN,Antônio Ribeiro Nogueira Jr. State Airport,Brazil
ANH,Anuha Island Resort,Solomon Islands
ACJ,Anuradhapura,Sri Lanka
ANV,Anvik Airport,United States
AYN,Anyang Airport,China
AOJ,Aomori Airport,Japan
CIB,Ap In The Sky,United States
AAF,Apalachicola Regional,United States
AAS,Apalapsili,Indonesia
APO,Apartado Airport,Colombia
APK,Apataki,French Polynesia
AZG,Apatzingan,Mexico
QYP,Apeldoorn Railway Station,Netherlands
API,Apiay,Colombia
APB,Apolo,Bolivia
ZAP,Appenzell Railway Station,Switzerland
APV,Apple Valley,United States
YQJ,April Point SPB,Canada
APR,April River,Papua New Guinea
APU,Apucarana,Brazil
AEQ,Ar Horqin Airport,China
AJK,Araak,Iran
AJU,Aracaju Airport,Brazil
ARU,Aracatuba Airport,Brazil
ARW,Arad,Romania
ARS,Aragarcas,Brazil
ARP,Aragip,Papua New Guinea
AUX,Araguaina Airport,Brazil
AXC,Aramac,Australia
ADI,Arandis,Namibia
RKP,Aransas County,United States
MGI,Aransas National Wildlife Refuge,United States
AAK,Aranuka,Kiribati
APQ,Arapiraca,Brazil
APX,Arapongas,Brazil
AAG,Arapoti,Brazil
RAE,Arar Airport,Saudi Arabia
ACR,Araracuara,Colombia
AQA,Araraquara,Brazil
ARY,Ararat,Australia
ASS,Arathusa Safari Lodge,South Africa
RKA,Aratika-Nord,French Polynesia
AUC,Arauca Airport,Colombia
ARQ,Arauquita,Colombia
RAW,Arawa,Papua New Guinea
AAX,Araxa Airport,Brazil
GPA,Araxos Airport,Greece
AMH,Arba Mintch Airport,Ethiopia
TTB,Arbatax,Italy
XXT,Arboga Railway Station,Sweden
ARO,Arboletas,Colombia
ZDD,Arbon Railway Station,Switzerland
ACV,Arcata-Eureka Airport,United States
YAB,Arctic Bay,Canada
ARC,Arctic Village,United States
ADU,Ardabil Airport,Iran
AMZ,Ardmore,New Zealand
ADM,Ardmore Municipal Airport,United States
OSD,Are Ostersund Airport,Sweden
ARE,Arecibo,Puerto Rico
XGD,Arendal Railway Station,Norway
GYL,Argyle,Australia
SVD,Argyle International Airport,Saint Vincent and the Grenadines
XAR,Aribinda,Burkina Faso
ACM,Arica,Colombia
AIR,Aripuana,Brazil
AQM,Ariquemes,Brazil
KSO,Aristoteles Airport,Greece
AYK,Arkalyk,Kazakhstan
WLD,Arkansas City,United States
ZAF,Arles Railway Station,France
RLT,Arlit,Niger
ARL,Arly,Burkina Faso
ARM,Armidale Airport,Australia
YYW,Armstrong,Canada
XHT,Arna Railway Station,Norway
LME,Arnage,France
YNR,Arnes,Canada
QAR,Arnhem Bus Station,Netherlands
ZYM,Arnhem Railway Station,Netherlands
AMR,Arno,Marshall Islands
TUH,Arnold AFS,United States
AOA,Aroa,Papua New Guinea
AON,Arona,Papua New Guinea
KIE,Aropa,Papua New Guinea
AIS,Arorae Island,Kiribati
ZDE,Arosa Railway Station,Switzerland
AAB,Arrabury Airport,Australia
AAI,Arraias,Brazil
EPS,Arroyo Barril International,Dominican Republic
ARJ,Arso,Indonesia
JRK,Arsuk,Greenland
ATS,Artesia,United States
ATC,Arthur's Town,Bahamas
ATI,Artigas,Uruguay
SCL,Arturo Merino Benitez Airport,Chile
VLN,Arturo Michelena International Airport,Venezuela
RUA,Arua,Uganda
AYY,Arugam Bay SPB,Sri Lanka
ZFU,Aruja,Brazil
ARK,Arusha Airport,Tanzania
AXR,Arutua Airport,French Polynesia
AVK,Arvaikheer,Mongolia
YEK,Arviat,Canada
AJR,Arvidsjaur Airport,Sweden
XYY,Arvika Railway Station,Sweden
YIE,Arxan Yiershi Airport,China
ABB,Asaba International Airport,Nigeria
AKJ,Asahikawa Airport,Japan
APP,Asapa,Papua New Guinea
AAU,Asau,Samoa
YAF,Asbestos Hill,Canada
ARX,Asbury Park,United States
ASC,Ascension,Bolivia
ZCB,Aschaffenburg Hbf Railway Station,Germany
AEK,Aseki,Papua New Guinea
ALK,Asela,Ethiopia
ASG,Ashburton,New Zealand
YZA,Ashcroft,Canada
AVL,Asheville Regional Airport,United States
ASB,Ashgabat Airport,Turkmenistan
ASX,Ashland,United States
ASY,Ashley,United States
JFN,Ashtabula,United States
ASZ,Asirim,Papua New Guinea
XGU,Asker Railway Station,Norway
ASM,Asmara International Airport,Eritrea
ASO,Asosa Airport,Ethiopia
ASE,Aspen Airport,United States
ASA,Assab International,Eritrea
AIF,Assis,Brazil
ATZ,Assiut Airport,Egypt
TSE,Astana (Nursultan) International Airport,Kazakhstan
AST,Astoria,United States
ASF,Astrakhan Airport,Russia
OVD,Asturias Airport,Spain
JTY,Astypalaia Airport,Greece
ASW,Aswan Airport,Egypt
AXK,Ataq,Yemen
JRS,Atarot,Israel
AUT,Atauro,Indonesia
ATB,Atbara,Sudan
ATX,Atbasar,Kazakhstan
AHN,Athens-Ben Epps,United States
ATV,Ati,Chad
YIB,Atikokan,Canada
AIU,Atiu Island,Cook Islands
AZP,Atizapan,Mexico
AKB,Atka,United States
ABP,Atkamba,Papua New Guinea
PTS,Atkinson Municipal Airport,United States
NCQ,Atlanta NAS,United States
ACY,Atlantic City International Airport,United States
ZRA,Atlantic City Railway Station,United States
ATT,Atmautluak Airport,United States
XOC,Atocha Railway St.,Spain
ATD,Atoifi,Solomon Islands
ATK,Atqasuk Edward Burnell Sr. Memorial Airport,United States
NJA,Atsugi NAS,Japan
OSX,Attala County,United States
YAT,Attawapiskat,Canada
ATG,Attock,Pakistan
AOU,Attopeu,Laos
PXA,Atung Bungsu Airport,Indonesia
GUW,Atyrau Airport,Kazakhstan
AUI,Aua Island,Papua New Guinea
AUN,Auburn,United States
LEW,Auburn,United States
AUO,Auburn-Opelika,United States
AKL,Auckland Airport,New Zealand
XNZ,Auckland Ferry Port,New Zealand
AGB,Augsburg Airport,Germany
AUG,Augusta Airport,United States
AGS,Augusta Regional Airport,United States
MGA,Augusto C Sandino International Airport,Nicaragua
AUD,Augustus Downs,Australia
AUV,Aumo,Papua New Guinea
YPJ,Aupaluk Airport,Canada
AUL,Aur Island,Marshall Islands
AUR,Aurillac Airport,France
AUU,Aurukun Mission,Australia
ASQ,Austin,United States
AUM,Austin,United States
GRB,Austin Straubel International Airport,United States
AUS,Austin-Bergstrom International Airport,United States
AWP,Austral Downs Airport,Australia
AVG,Auvergne,Australia
NRC,Aux Field,United States
AUF,Auxerre Branches,France
GBI,Auxiliary Airfield,Bahamas
SXC,Avalo Vor/WP,United States
AVV,Avalon Airport,Australia
AVX,Avalon Bay,United States
XYP,Avesta Krylbo,Sweden
AVB,Aviano,Italy
XZN,Avignon Railway,France
AVN,Avignon-Caumont Airport,France
AVW,Avra Valley,United States
CLJ,Avram Iancu Cluj International Airport,Romania
AVU,Avu Avu,Solomon Islands
AWB,Awaba Airport,Papua New Guinea
CBO,Awang Airport,Philippines
AWR,Awar,Papua New Guinea
AWA,Awassa,Ethiopia
JKG,Axamo Airport,Sweden
AXU,Axum Airport,Ethiopia
AYC,Ayacucho,Colombia
AYA,Ayapel,Colombia
AYW,Ayawasi,Indonesia
AYO,Ayolas,Paraguay
AYR,Ayr,Australia
BIC,Aérodrome de Belle Île,France
BXB,Babo,Indonesia
TTE,Babullah Airport,Indonesia
SUI,Babusheri,Georgia
BCJ,Baca Grande,United States
BFH,Bacacheri,Brazil
BCM,Bacau Airport,Romania
GRS,Baccarini,Italy
PEW,Bacha Khan International Airport,Pakistan
BCD,Bacolod-Silay International Airport,Philippines
BJZ,Badajoz Airport,Spain
BXD,Bade,Indonesia
ZDG,Baden Railway Station,Switzerland
FKB,Baden-Airpark,Germany
ZCC,Baden-Baden Railway Station,Germany
AIY,Bader Field,United States
BDD,Badu Island,Australia
BFX,Bafoussam,Cameroon
BNQ,Baganga,Philippines
BQI,Bagani,Namibia
BGT,Bagdad,United States
IXB,Bagdogra Airport,India
BGW,Baghdad International Airport,Iraq
BGL,Baglung,Nepal
OAI,Bagram,Afghanistan
BJR,Bahar Dar Airport,Ethiopia
WGB,Bahawalnagar,Pakistan
BHV,Bahawalpur Airport,Pakistan
BHL,Bahia Angeles,Mexico
BHF,Bahia Cupica,Colombia
BHA,Bahia De Caraquez,Ecuador
BFA,Bahia Negra,Paraguay
BFQ,Bahia Pinas,Panama
BSC,Bahia Solano,Colombia
BJQ,Bahja Airport,Oman
BAH,Bahrain International Airport,Bahrain
IAQ,Bahregan,Iran
THD,Bai Thuong Airport,Vietnam
BAY,Baia Mare,Romania
BAP,Baibara,Papua New Guinea
DBC,Baicheng Chang'an,China
BIB,Baidoa,Somalia
YBJ,Baie Johan Beetz,Canada
YBC,Baie-Comeau Airport,Canada
BXY,Baikonur Krayniy Airport,Kazakhstan
BKV,Bailing Airport,China
BBR,Baillif,Guadeloupe
VMU,Baimuru,Papua New Guinea
BDZ,Baindoung,Papua New Guinea
BSJ,Bairnsdale,Australia
BIT,Baitadi,Nepal
BJW,Bajawa Soa Airport,Indonesia
BJH,Bajhang,Nepal
BJN,Bajone,Mozambique
BJU,Bajura Airport,Nepal
BKM,Bakalalan,Malaysia
BXE,Bakel,Senegal
BKE,Baker,United States
BAR,Baker AAF,United States
YBK,Baker Lake,Canada
BJD,Bakkafjordur,Iceland
BMF,Bakouma,Central African Republic
BAK,Baku Metropolitan Area,Azerbaijan
BWO,Balakovo,Russia
BAS,Balalae,Solomon Islands
TXC,Balbasovo Air Base,Belarus
LCN,Balcanoona,Australia
MLJ,Baldwin County,United States
BJE,Baleela,Sudan
BQA,Baler,Philippines
BQW,Balgo Hills,Australia
BXH,Balhash,Kazakhstan
BAJ,Bali,Papua New Guinea
BZI,Balikesir,Turkey
EDO,Balikesir Koca Seyit Airport,Turkey
OPU,Balimo,Papua New Guinea
BKN,Balkanabat Airport,Turkmenistan
BBL,Ballera Airport,Australia
BNK,Ballina Byron Airport,Australia
BOL,Ballykelly,United Kingdom
BZD,Balranald,Australia
BSS,Balsas,Brazil
UNT,Baltasound,United Kingdom
GBO,Baltimore Greenbelt T,United States
ZBP,Baltimore Railway,United States
BWI,Baltimore/Wash International Thurgood Marshall Airport,United States
GPS,Baltra Airport,Ecuador
BMR,Baltrum,Germany
RGH,Balurghat,India
BXR,Bam,Iran
BKO,Bamako-Senou International Airport,Mali
BBY,Bambari,Central African Republic
BCP,Bambu,Papua New Guinea
BMQ,Bamburi,Kenya
BLC,Bamenda,Cameroon
BPC,Bamenda,Cameroon
BMN,Bamerny,Iraq
YBF,Bamfield,Canada
BIN,Bamiyan,Afghanistan
IXD,Bamrauli Airport,India
BMZ,Bamu,Papua New Guinea
OUI,Ban Houei,Laos
NAF,Banaina,Indonesia
LKL,Banak Airport,Norway
NDA,Bandanaira,Indonesia
BND,Bandar Abbas International Airport,Iran
BDH,Bandar Lengeh,Iran
BWX,Bandar Udara Internasional Banyuwangi,Indonesia
AXO,Bandar Udara Pantar,Indonesia
GYO,Bandar Udara Senubung,Indonesia
CMB,Bandaranaike International Airport,Sri Lanka
BDM,Bandirma,Turkey
FDU,Bandundu,Democratic Republic of the Congo
BBU,Baneasa,Romania
YBA,Banff,Canada
BNR,Banfora,Burkina Faso
BGU,Bangassou,Central African Republic
BPX,Bangda Airport,China
FKI,Bangoka International Airport,Democratic Republic of the Congo
BGR,Bangor International Airport,United States
BGF,Bangui Airport,Central African Republic
BYX,Baniyala,Australia
BNX,Banja Luka Airport,Bosnia and Herzegovina
XWN,Bank Quay Rail Station,United Kingdom
BNG,Banning,United States
BNP,Bannu,Pakistan
BYT,Bantry,Ireland
BNZ,Banz,Papua New Guinea
BSD,Baoshan Airport,China
BAV,Baotou Airport,China
BPD,Bapi,Papua New Guinea
BHB,Bar Harbor Airport,United States
YEB,Bar River,Canada
BCA,Baracoa,Cuba
MGN,Baracoa,Colombia
BRX,Barahona,Dominican Republic
VEV,Barakoma,Solomon Islands
BMJ,Baramita,Guyana
ULV,Baratayevka,Russia
BAZ,Barbelos,Brazil
BBQ,Barbuda,Antigua and Barbuda
KSC,Barca Airport,Slovakia
BCI,Barcaldine Airport,Australia
XJB,Barcelona Bus Station,Spain
BCN,Barcelona-El Prat Airport,Spain
BAE,Barcelonnette,France
BSY,Bardera,Somalia
BDU,Bardufoss Airport,Norway
BEK,Bareli,India
BYP,Barimunya Airport,Australia
NHX,Barin Olf Osn,United States
BNS,Barinas,Venezuela
BBN,Bario Airport,Malaysia
BZL,Barisal Airport,Bangladesh
BKH,Barking Sands PMRF,United States
PAH,Barkley Regional Airport,United States
BKP,Barkly Downs,Australia
BAD,Barksdale AFB,United States
BAX,Barnaul Gherman Titov International Airport,Russia
BAF,Barnes,United States
BNH,Barnes,United States
HYA,Barnstable Municipal Airport,United States
BNL,Barnwell Regional,United States
RRI,Barora,Solomon Islands
BRM,Barquisimeto Airport,Venezuela
BQQ,Barra,Brazil
BCL,Barra Colorado,Costa Rica
BDC,Barra Do Corda,Brazil
BPG,Barra Do Garcas,Brazil
BAC,Barranca De Upia,Colombia
NBB,Barrancominas,Colombia
BRA,Barreiras Airport,Brazil
BRB,Barreirinhas,Brazil
TOQ,Barriles,Chile
BWB,Barrow Island,Australia
DAG,Barstow-Daggett,United States
BTI,Barter Island Airport,United States
BBH,Barth,Germany
GFO,Bartica,Guyana
BVO,Bartlesville,United States
BQV,Bartlett SPB,United States
BSZ,Bartletts,United States
CAW,Bartolomeu Lisandro Airport,Brazil
BOW,Bartow,United States
UUN,Baruun-Urt,Mongolia
BSU,Basankusu,Democratic Republic of the Congo
BSO,Basco Airport,Philippines
RER,Base Aerea Del Sur,Guatemala
